"handle","treatment_id","room_id","room_type_id","mmrating"
"Mimino","tournament",1,"Small",1958
"a9108tc","tournament",1,"Small",1805
"Nickolas","tournament",1,"Small",1542
"Kenny_HORROR","tournament",1,"Small",1481
"daviduarte","tournament",1,"Small",1163
"onjanirina","tournament",1,"Small",1006
"omegayu","tournament",1,"Small",781
"blu3fox","tournament",1,"Small",NA
"Euniceadu","tournament",1,"Small",NA
"Rajpurohit","tournament",1,"Small",NA
"ainu7","tournament",2,"Small",2774
"fugusuki","tournament",2,"Small",1626
"fujiyama","tournament",2,"Small",1610
"Matt_sjtu","tournament",2,"Small",1028
"omu","tournament",2,"Small",NA
"xiaoruby","tournament",2,"Small",NA
"kazunetakahashi","tournament",2,"Small",NA
"chengweichi","tournament",2,"Small",NA
"rst9288","tournament",2,"Small",NA
"osev","tournament",2,"Small",NA
"goldfinch","tournament",3,"Small",1826
"nroeth","tournament",3,"Small",1379
"al_gol","tournament",3,"Small",1173
"tanzaku","tournament",3,"Small",1132
"cheaps","tournament",3,"Small",1048
"nic.lim55","tournament",3,"Small",973
"yangzhe1991","tournament",3,"Small",897
"Chikov2","tournament",3,"Small",669
"TwCoder","tournament",3,"Small",NA
"soybean","tournament",3,"Small",NA
"Breusov","tournament",4,"Small",1754
"ichattopadhyaya","tournament",4,"Small",1445
"miguel_clean","tournament",4,"Small",1366
"ahoenig","tournament",4,"Small",1314
"antoshkaplus","tournament",4,"Small",1297
"ichyo","tournament",4,"Small",1197
"Zimuk","tournament",4,"Small",1097
"Cannon","tournament",4,"Small",843
"adk90","tournament",4,"Small",NA
"eofsentinel","tournament",4,"Small",NA
"eldidou","tournament",5,"Large",2633
"zaq1xsw2tktk","tournament",5,"Large",1924
"dimkadimon","tournament",5,"Large",1766
"cant_dance","tournament",5,"Large",1693
"LOY","tournament",5,"Large",1662
"JRSSKumarD","tournament",5,"Large",1489
"xin135","tournament",5,"Large",1330
"Uchigle","tournament",5,"Large",1327
"marchyoung","tournament",5,"Large",1025
"mra","tournament",5,"Large",614
"LaguneXXX","tournament",5,"Large",NA
"gkeesh7","tournament",5,"Large",NA
"MonicaMuranyi","tournament",5,"Large",NA
"vitux","tournament",5,"Large",NA
"Lapro","tournament",5,"Large",NA
"martinezgjuan","tournament",6,"Large",1565
"sukides","tournament",6,"Large",1400
"SebM","tournament",6,"Large",1271
"izhari","tournament",6,"Large",1227
"kino","tournament",6,"Large",1150
"dexy","tournament",6,"Large",1107
"Johan.de.Ruiter","tournament",6,"Large",1067
"dhbellol","tournament",6,"Large",921
"alecn2002","tournament",6,"Large",872
"azneye","tournament",6,"Large",799
"nkshn","tournament",6,"Large",NA
"Vardan(RAU)","tournament",6,"Large",NA
"_Kevin","tournament",6,"Large",NA
"T_I_W_A_R_Y","tournament",6,"Large",NA
"StarCuriosity","tournament",6,"Large",NA
"limed","tournament",7,"Large",1937
"maniek","tournament",7,"Large",1893
"ivan_metelsky","tournament",7,"Large",1711
"martin.trojak","tournament",7,"Large",1469
"tbell","tournament",7,"Large",1418
"jun22","tournament",7,"Large",1354
"xsymphonyx","tournament",7,"Large",1083
"YDesai","tournament",7,"Large",996
"toshif","tournament",7,"Large",NA
"DrWhatsisname","tournament",7,"Large",NA
"FCoskun","tournament",7,"Large",NA
"sasikanth9","tournament",7,"Large",NA
"jasonw","tournament",7,"Large",NA
"fazam","tournament",7,"Large",NA
"defatigue","tournament",7,"Large",NA
"marek.cygan","tournament",8,"Large",2247
"pooya_","tournament",8,"Large",1607
"RRx","tournament",8,"Large",1427
"wzyxp_123","tournament",8,"Large",1293
"Seip_meginu","tournament",8,"Large",1229
"vaa2804","tournament",8,"Large",1203
"ty70","tournament",8,"Large",1099
"rrr_guru","tournament",8,"Large",1042
"baseballnut","tournament",8,"Large",991
"tri_code","tournament",8,"Large",967
"ISMAX","tournament",8,"Large",829
"ribeiro","tournament",8,"Large",769
"ashersyed","tournament",8,"Large",742
"kyerise","tournament",8,"Large",593
"haraduka","tournament",8,"Large",NA
